source_id,name,category
11,verified_baffled_closed_eyes,confused
13,worried_talking,worried
14,verified_uneasy_suspicion,suspicious
15,verified_playful_wink,playful
16,verified_awkward_conflict,awkward
17,verified_shocked_gasp,shocked
18,verified_angry_surprise,angry
19,verified_focused_contemplation,thinking
20,verified_indecisive_thought,thinking
21,verified_curious_surprise,curious
22,verified_baffled_shout,confused
23,verified_confused_side_eye,confused
24,verified_excited_surprise,excited
25,verified_displeased_smile,displeased
26,verified_disbelief_panic,scared
27,verified_helpless_contemplation,thinking
28,exhausted_blank,deadpan
29,verified_contempt_whistle,contempt
30,verified_goofy_grin,playful
31,verified_deep_thought,thinking
32,verified_cool_confidence,cool
33,verified_childlike_pout,childish
34,verified_embarrassed_blush,embarrassed
35,verified_beaming_closed_eyes,happy
36,verified_beaten_nosebleed,hurt
37,verified_dazed_blank_stare,dazed
38,verified_tearful_restraint,sad
39,verified_contempt_side_eye,contempt
40,verified_full_cry,crying
41,verified_pained_flinch,hurt
43,verified_angry_yell,angry
45,verified_lecherous_blush,lecherous
46,verified_disbelief_open_mouth,disbelief
47,verified_attracted_nosebleed,attraction
48,verified_startled_panic,scared
49,verified_roundface_teasing_smirk,playful
50,verified_friendly_teasing_glance,playful
51,verified_wise_goatee,wise
52,verified_angry_side_eye,angry
53,verified_lecherous_smirk,lecherous
54,verified_stunned_disbelief,disbelief
55,startled_worried,worried
56,verified_knowing_suspicion,insight
57,verified_guilty_grin,guilty
58,verified_shy_glow,embarrassed
59,verified_extreme_disbelief,disbelief
60,verified_steely_determination,determined
61,awkward_grimace,embarrassed
62,verified_skeptical_tease,skeptical
